Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
348.00,0.031340
347.00,0.032459
346.00,0.031567
345.00,0.031052
344.00,0.032289
343.00,0.031872
342.00,0.031955
341.00,0.032015
340.00,0.031987
339.00,0.032109
338.00,0.033609
337.00,0.033999
336.00,0.034542
335.00,0.034460
334.00,0.034656
333.00,0.036372
332.00,0.036765
331.00,0.037575
330.00,0.040238
329.00,0.040373
328.00,0.042608
327.00,0.042077
326.00,0.044290
325.00,0.045279
324.00,0.048079
323.00,0.048693
322.00,0.050860
321.00,0.053273
320.00,0.054961
319.00,0.056749
318.00,0.059918
317.00,0.063872
316.00,0.067950
315.00,0.071475
314.00,0.075027
313.00,0.080697
312.00,0.086734
311.00,0.093101
310.00,0.098590
309.00,0.105922
308.00,0.114367
307.00,0.122669
306.00,0.131839
305.00,0.139980
304.00,0.150307
303.00,0.159609
302.00,0.168622
301.00,0.178886
300.00,0.189209
299.00,0.199417
298.00,0.207127
297.00,0.219090
296.00,0.227899
295.00,0.238785
294.00,0.250578
293.00,0.260791
292.00,0.271366
291.00,0.284187
290.00,0.295672
289.00,0.308690
288.00,0.322891
287.00,0.336600
286.00,0.351182
285.00,0.365547
284.00,0.379785
283.00,0.399000
282.00,0.414744
281.00,0.432729
280.00,0.451604
279.00,0.472390
278.00,0.492251
277.00,0.515639
276.00,0.538368
275.00,0.559610
274.00,0.587934
273.00,0.615319
272.00,0.640573
271.00,0.668005
270.00,0.700856
269.00,0.731402
268.00,0.765020
267.00,0.797883
266.00,0.831352
265.00,0.874158
264.00,0.917057
263.00,0.951187
262.00,0.996091
261.00,1.043975
260.00,1.090642
259.00,1.141134
258.00,1.193475
257.00,1.247131
256.00,1.310304
255.00,1.368959
254.00,1.432637
253.00,1.504991
252.00,1.570378
251.00,1.638279
250.00,1.711788
249.00,1.780081
248.00,1.853409
247.00,1.930165
246.00,1.985319
245.00,2.051185
244.00,2.125522
243.00,2.191050
242.00,2.262570
241.00,2.326457
240.00,2.388079
239.00,2.441552
238.00,2.513158
237.00,2.571163
236.00,2.637398
235.00,2.690823
234.00,2.773075
233.00,2.822570
232.00,2.885518
